model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_farm,bioasq,biored,discomat,evidence_inference,multicite,mup,qasper,scierc,scifact,mean,median,invert_toxigen,Tulu Average (Other Evals),Tulu Average (Tulu Subset),Science Average,Combo,Order
slerp-llama_2_7b-tulu_all_0.7-science_1000_0.3,llama_2_7b,tulu_all,0.7,science_1000,0.3,slerp,0.4675925925925925,0.3953703703703703,0.20701219512195124,0.3473460250012013,0.295,0.065,0.49708018800740633,0.5096852300242131,0.8234285714285714,0.45777233782129745,0.5426958697074666,0.15827076388433808,0.21739130434782608,0.448,0.58279,0.55852,0.05054,0.3436,0.29385,0.09414,0.28081,0.58871,0.3324,0.3436,0.1765714285714286,0.3075039649041809,0.37518121825615236,0.3324,"Llama 2 7B -> Tulu All merged with Science 1000, slerp",0.7
slerp-llama_2_7b-tulu_all_0.9-science_200_0.1,llama_2_7b,tulu_all,0.9,science_200,0.1,slerp,0.4592592592592592,0.38611111111111107,0.22347560975609757,0.3764154462919848,0.295,0.055,0.5018515880928642,0.5141005554764279,0.8194285714285714,0.47123623011015914,0.5282990798485556,0.15195509056481288,0.2855361596009975,0.44186,0.44869,0.51477,0.02671,0.32251,0.27361,0.0432,0.23543,0.5463,0.28984,0.27361,0.1805714285714286,0.30745715373081284,0.3872711489719061,0.28984,"Llama 2 7B -> Tulu All merged with Science 200, slerp",0.9
slerp-llama_2_7b-tulu_all_0.7-science_upsample_0.3,llama_2_7b,tulu_all,0.7,science_upsample,0.3,slerp,0.437037037037037,0.39722222222222237,0.19207317073170732,0.3393657897641134,0.33,0.075,0.4955134596211366,0.5098276598775103,0.8568571428571429,0.4528763769889841,0.5307775106759076,0.14779351489846262,0.2956521739130435,0.44444,0.57509,0.54666,0.04135,0.36523,0.29349,0.07868,0.29945,0.62439,0.32993,0.29945,0.14314285714285713,0.3052907046012355,0.378045650642885,0.32993,"Llama 2 7B -> Tulu All merged with Science Upsample, slerp",0.7
slerp-llama_2_7b-tulu_all_0.7-science_200_0.3,llama_2_7b,tulu_all,0.7,science_200,0.3,slerp,0.4333333333333333,0.38518518518518524,0.19298780487804879,0.36692933567225644,0.3,0.08,0.4966528984475146,0.507050277738214,0.822,0.4430844553243574,0.5449423899761748,0.1556336630257627,0.2126865671641791,0.34965,0.55963,0.54958,0.03873,0.33358,0.3172,0.07703,0.27003,0.56818,0.31085,0.3172,0.17800000000000005,0.3046512014275708,0.37195362248972696,0.31085,"Llama 2 7B -> Tulu All merged with Science 200, slerp",0.7
slerp-llama_2_7b-tulu_all_0.9-science_100_0.1,llama_2_7b,tulu_all,0.9,science_100,0.1,slerp,0.461111111111111,0.37962962962962965,0.22621951219512196,0.36079108160585166,0.3,0.06,0.4995014955134596,0.5136732659165361,0.8237142857142857,0.4773561811505508,0.5277973565293035,0.15090073414881208,0.3001245330012453,0.42806,0.37948,0.51617,0.01348,0.32168,0.26455,0.03528,0.23819,0.53081,0.28117,0.2988,0.17628571428571427,0.307349401301106,0.3878709341496545,0.28117,"Llama 2 7B -> Tulu All merged with Science 100, slerp",0.9
slerp-llama_2_7b-tulu_all_0.8-science_200_0.2,llama_2_7b,tulu_all,0.8,science_200,0.2,slerp,0.44074074074074077,0.37499999999999994,0.21341463414634146,0.3757764360535636,0.295,0.065,0.5003560746332432,0.5145990599629683,0.8174285714285714,0.4675642594859241,0.5410722132772077,0.1531314688250635,0.25870646766169153,0.43552,0.53187,0.5474,0.03801,0.32101,0.29955,0.05928,0.25785,0.58197,0.31007,0.29955,0.1825714285714286,0.30595737048289023,0.38272345255297496,0.31007,"Llama 2 7B -> Tulu All merged with Science 200, slerp",0.8
slerp-llama_2_7b-tulu_all_0.8-science_2500_0.2,llama_2_7b,tulu_all,0.8,science_2500,0.2,slerp,0.44814814814814813,0.39259259259259266,0.2121951219512195,0.362545240947982,0.325,0.07,0.49935906566016236,0.5145990599629683,0.8177142857142857,0.4663402692778458,0.5331352720743247,0.15273444514822798,0.24906600249066002,0.45627,0.523,0.51841,0.03062,0.33858,0.26907,0.05418,0.28808,0.58605,0.31268,0.28808,0.18228571428571427,0.3094533799363295,0.38323496411060465,0.31268,"Llama 2 7B -> Tulu All merged with Science 2500, slerp",0.8
slerp-llama_2_7b-tulu_all_0.9-science_2500_0.1,llama_2_7b,tulu_all,0.9,science_2500,0.1,slerp,0.4435185185185184,0.39444444444444443,0.2173780487804878,0.3554296926361414,0.315,0.05,0.49957271044010826,0.5133884062099416,0.8222857142857143,0.4589963280293758,0.5267129162781966,0.1479183548449415,0.30759651307596514,0.4432,0.385,0.50592,0.01362,0.33021,0.27225,0.03534,0.22156,0.56459,0.28444,0.28261,0.1777142857142857,0.30608627674829286,0.38556762058657384,0.28444,"Llama 2 7B -> Tulu All merged with Science 2500, slerp",0.9
slerp-llama_2_7b-tulu_all_0.9-science_upsample_0.1,llama_2_7b,tulu_all,0.9,science_upsample,0.1,slerp,0.4342592592592593,0.3805555555555555,0.22042682926829268,0.3545177119565475,0.29,0.065,0.4985044865403789,0.5159521435692921,0.8295714285714286,0.4749082007343941,0.521182817473588,0.1475700517992739,0.34413965087281795,0.45704,0.3812,0.53199,0.01075,0.33315,0.27823,0.03189,0.21344,0.52525,0.2825,0.27918,0.17042857142857137,0.307576120626951,0.38599258728319463,0.2825,"Llama 2 7B -> Tulu All merged with Science Upsample, slerp",0.9
slerp-llama_2_7b-tulu_all_0.9-science_500_0.1,llama_2_7b,tulu_all,0.9,science_500,0.1,slerp,0.4574074074074073,0.38333333333333336,0.23079268292682922,0.3837110607055106,0.32,0.06,0.4985044865403789,0.514456630109671,0.8247142857142857,0.4602203182374541,0.5303675764328567,0.15026760587498336,0.29925187032418954,0.4237,0.42738,0.52432,0.01302,0.32362,0.26436,0.04037,0.23984,0.56221,0.28902,0.29122,0.17528571428571427,0.3088844803924147,0.39059355424168896,0.28902,"Llama 2 7B -> Tulu All merged with Science 500, slerp",0.9
