task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,rouge1,f1_answer,f1_evidence,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
ties-llama_2_7b-tulu_all_0.1-science_500_0.9,0.44747,0.62824,0.53806,0.00000,0.00000,0.00000,0.45651,0.32119,0.12335,0.25813,0.37072,0.40930,0.50119,0.63273,0.38052,0.40930
ties-llama_2_7b-tulu_all_0.1-science_upsample_0.9,0.42121,0.57431,0.56580,0.00000,0.00572,0.00000,0.42770,0.31416,0.09427,0.20496,0.28992,0.36825,0.42876,0.63265,0.35445,0.36825
ties-llama_2_7b-tulu_all_0.2-science_1000_0.8,0.46243,0.68120,0.48848,0.00000,0.00000,0.00000,0.48898,0.32682,0.05604,0.12498,0.35158,0.43902,0.51107,0.72428,0.37671,0.43902
ties-llama_2_7b-tulu_all_0.2-science_100_0.8,0.12188,0.00000,0.02254,0.00000,0.00000,0.00000,0.35867,0.00072,0.00033,0.00000,0.00858,0.01631,0.04651,0.05592,0.00465
ties-llama_2_7b-tulu_all_0.2-science_200_0.8,0.40919,0.54488,0.42866,0.00000,0.06099,0.03972,0.33678,0.31787,0.04237,0.05799,0.26920,0.26016,0.39108,0.55351,0.29833,0.31787
ties-llama_2_7b-tulu_all_0.2-science_2500_0.8,0.40232,0.57043,0.54382,0.00000,0.00000,0.00000,0.54463,0.30943,0.09201,0.19963,0.34783,0.41279,0.50160,0.72646,0.37721,0.40232
ties-llama_2_7b-tulu_all_0.2-science_500_0.8,0.46449,0.64685,0.53374,0.00176,0.06321,0.03336,0.39649,0.31522,0.06865,0.11960,0.32535,0.40678,0.49037,0.63235,0.36116,0.39649
ties-llama_2_7b-tulu_all_0.2-science_upsample_0.8,0.41667,0.56879,0.56769,0.00000,0.00576,0.00000,0.42603,0.31465,0.10149,0.20807,0.28901,0.37342,0.43165,0.63959,0.35556,0.37342
ties-llama_2_7b-tulu_all_0.3-science_1000_0.7,0.46899,0.64281,0.51859,0.00165,0.06281,0.04298,0.40117,0.27379,0.05467,0.12262,0.31712,0.44557,0.50813,0.66148,0.36088,0.40117
ties-llama_2_7b-tulu_all_0.3-science_100_0.7,0.14872,0.00000,0.04379,0.00000,0.00000,0.00000,0.26806,0.00303,0.00248,0.00000,0.00840,0.01429,0.04615,0.05206,0.00572
ties-llama_2_7b-tulu_all_0.3-science_200_0.7,0.35439,0.05759,0.19683,0.00000,0.02255,0.00225,0.41312,0.23444,0.01043,0.00898,0.03442,0.25245,0.31939,0.52055,0.19143,0.19683
ties-llama_2_7b-tulu_all_0.3-science_2500_0.7,0.43902,0.62386,0.51553,0.00200,0.04208,0.03006,0.50386,0.31893,0.07159,0.13662,0.33797,0.39766,0.48615,0.69643,0.37123,0.39766
ties-llama_2_7b-tulu_all_0.3-science_500_0.7,0.48047,0.58261,0.43131,0.00000,0.06192,0.03251,0.33103,0.33091,0.04478,0.09018,0.30118,0.32634,0.45173,0.58427,0.32409,0.33091
ties-llama_2_7b-tulu_all_0.3-science_upsample_0.7,0.41124,0.57553,0.56899,0.00000,0.00586,0.00000,0.42732,0.31414,0.08381,0.19085,0.30547,0.36593,0.43198,0.63959,0.35352,0.36593
ties-llama_2_7b-tulu_all_0.4-science_1000_0.6,0.43850,0.59763,0.43221,0.00163,0.06204,0.05061,0.34554,0.30792,0.04697,0.09652,0.30688,0.36983,0.48003,0.59922,0.32757,0.34554
ties-llama_2_7b-tulu_all_0.4-science_100_0.6,0.16314,0.00000,0.03127,0.00000,0.00000,0.00000,0.37734,0.00000,0.00083,0.00234,0.03891,0.04681,0.04688,0.06607,0.01681
ties-llama_2_7b-tulu_all_0.4-science_200_0.6,0.36715,0.08801,0.32744,0.00000,0.02093,0.00000,0.39226,0.25368,0.02006,0.02038,0.07292,0.24715,0.31867,0.52778,0.21252,0.24715
ties-llama_2_7b-tulu_all_0.4-science_2500_0.6,0.44288,0.61128,0.32359,0.00000,0.04857,0.02775,0.44739,0.33401,0.04640,0.11738,0.30901,0.39888,0.47429,0.68696,0.34240,0.33401
ties-llama_2_7b-tulu_all_0.4-science_500_0.6,0.43826,0.52517,0.41458,0.00000,0.04431,0.02618,0.32644,0.30967,0.03451,0.05035,0.27141,0.29448,0.42607,0.58238,0.29923,0.30967
ties-llama_2_7b-tulu_all_0.4-science_upsample_0.6,0.41026,0.59156,0.56316,0.00000,0.01122,0.00281,0.43134,0.31586,0.06965,0.15438,0.30208,0.34084,0.42084,0.63212,0.34750,0.34084
ties-llama_2_7b-tulu_all_0.5-science_1000_0.5,0.44444,0.57060,0.44596,0.00000,0.06011,0.03737,0.33302,0.33674,0.04472,0.09226,0.30960,0.33255,0.46979,0.59144,0.32377,0.33302
ties-llama_2_7b-tulu_all_0.5-science_100_0.5,0.28620,0.00000,0.08729,0.00000,0.00767,0.00000,0.18466,0.22978,0.00376,0.00345,0.01467,0.24276,0.31739,0.50704,0.14248,0.08729
ties-llama_2_7b-tulu_all_0.5-science_200_0.5,0.40777,0.35060,0.36047,0.00000,0.04121,0.00217,0.34384,0.26989,0.02504,0.02685,0.20690,0.25681,0.36696,0.55411,0.25850,0.26989
ties-llama_2_7b-tulu_all_0.5-science_2500_0.5,0.45221,0.58721,0.19096,0.00000,0.05653,0.01995,0.39831,0.34419,0.04920,0.09584,0.30250,0.34160,0.43602,0.62338,0.31290,0.34160
ties-llama_2_7b-tulu_all_0.5-science_500_0.5,0.43674,0.53664,0.40851,0.00201,0.04814,0.02407,0.32725,0.31984,0.03654,0.05455,0.27761,0.29630,0.43127,0.58462,0.30243,0.31984
ties-llama_2_7b-tulu_all_0.5-science_upsample_0.5,0.44625,0.61456,0.54592,0.00000,0.01667,0.01458,0.41059,0.31285,0.07914,0.14549,0.32088,0.35783,0.41784,0.62500,0.35229,0.35783
ties-llama_2_7b-tulu_all_0.6-science_1000_0.4,0.42623,0.57678,0.43038,0.00155,0.06347,0.04180,0.33539,0.33965,0.04538,0.09231,0.31393,0.34742,0.48170,0.59922,0.32456,0.33965
ties-llama_2_7b-tulu_all_0.6-science_100_0.4,0.38413,0.10944,0.33515,0.00000,0.02358,0.00000,0.36937,0.26275,0.02628,0.02320,0.14397,0.24470,0.33434,0.53509,0.22342,0.24470
ties-llama_2_7b-tulu_all_0.6-science_200_0.4,0.42270,0.49096,0.37142,0.00000,0.03148,0.01259,0.32940,0.29783,0.03014,0.04077,0.25503,0.26511,0.39811,0.55777,0.28115,0.29783
ties-llama_2_7b-tulu_all_0.6-science_2500_0.4,0.45607,0.58732,0.26944,0.00000,0.04624,0.02808,0.38541,0.34448,0.04971,0.09071,0.30986,0.34054,0.43559,0.62931,0.31901,0.34054
ties-llama_2_7b-tulu_all_0.6-science_500_0.4,0.48170,0.55415,0.42025,0.00000,0.04746,0.02455,0.32564,0.33505,0.04613,0.06946,0.29254,0.30516,0.44459,0.59608,0.31578,0.32564
ties-llama_2_7b-tulu_all_0.6-science_upsample_0.4,0.45561,0.61360,0.52053,0.00000,0.03232,0.02828,0.39661,0.31515,0.06164,0.12100,0.29241,0.38095,0.46044,0.66000,0.34998,0.38095
ties-llama_2_7b-tulu_all_0.7-science_1000_0.3,0.43447,0.58985,0.39865,0.00158,0.07092,0.04413,0.34496,0.33215,0.04473,0.09159,0.31335,0.37653,0.49304,0.60317,0.32731,0.34496
ties-llama_2_7b-tulu_all_0.7-science_100_0.3,0.43029,0.39096,0.36569,0.00000,0.03250,0.00956,0.32120,0.28729,0.03325,0.04039,0.25532,0.25841,0.37524,0.57025,0.27141,0.28729
ties-llama_2_7b-tulu_all_0.7-science_200_0.3,0.40928,0.54405,0.38317,0.00000,0.06461,0.03230,0.32318,0.33662,0.03884,0.05809,0.25207,0.25390,0.39076,0.57031,0.29401,0.32318
ties-llama_2_7b-tulu_all_0.7-science_2500_0.3,0.44936,0.59789,0.23171,0.00000,0.05004,0.02335,0.39250,0.34802,0.05164,0.09490,0.30820,0.34946,0.44253,0.61803,0.31743,0.34802
ties-llama_2_7b-tulu_all_0.7-science_500_0.3,0.47195,0.58300,0.43478,0.00000,0.05422,0.03163,0.32899,0.34538,0.04684,0.08453,0.30522,0.32289,0.46012,0.60870,0.32605,0.32899
ties-llama_2_7b-tulu_all_0.7-science_upsample_0.3,0.42904,0.62385,0.47919,0.00000,0.04440,0.03027,0.36824,0.31890,0.05716,0.10559,0.31096,0.38372,0.47669,0.64677,0.34253,0.36824
ties-llama_2_7b-tulu_all_0.8-science_1000_0.2,0.44245,0.60256,0.38819,0.00160,0.06704,0.04629,0.35248,0.33039,0.04815,0.10487,0.31224,0.40500,0.50502,0.61789,0.33375,0.35248
ties-llama_2_7b-tulu_all_0.8-science_100_0.2,0.42276,0.50783,0.39838,0.00000,0.05859,0.01900,0.31864,0.33204,0.04156,0.05766,0.26806,0.28226,0.41466,0.57490,0.29661,0.31864
ties-llama_2_7b-tulu_all_0.8-science_200_0.2,0.41573,0.57428,0.40057,0.00138,0.06367,0.03737,0.33271,0.35105,0.04404,0.07611,0.26753,0.27251,0.40483,0.56126,0.30541,0.33271
ties-llama_2_7b-tulu_all_0.8-science_2500_0.2,0.45018,0.59388,0.18436,0.00000,0.04987,0.02580,0.40110,0.34684,0.04984,0.10347,0.31291,0.37297,0.46146,0.63793,0.31849,0.34684
ties-llama_2_7b-tulu_all_0.8-science_500_0.2,0.43206,0.59644,0.42574,0.00000,0.05685,0.02624,0.33383,0.34730,0.03873,0.09294,0.30020,0.33659,0.45347,0.60408,0.32407,0.33659
ties-llama_2_7b-tulu_all_0.8-science_upsample_0.2,0.43253,0.61169,0.46956,0.00000,0.04609,0.02605,0.35601,0.31896,0.04906,0.09562,0.30944,0.38953,0.49406,0.65347,0.33927,0.35601
ties-llama_2_7b-tulu_all_0.9-science_1000_0.1,0.44928,0.60569,0.38534,0.00159,0.07012,0.04781,0.36317,0.32783,0.04821,0.10637,0.31437,0.43367,0.51606,0.63071,0.33952,0.36317
ties-llama_2_7b-tulu_all_0.9-science_100_0.1,0.42436,0.55994,0.43291,0.00000,0.06039,0.03933,0.31789,0.34710,0.04622,0.07743,0.31006,0.28894,0.41059,0.57028,0.31232,0.31789
ties-llama_2_7b-tulu_all_0.9-science_200_0.1,0.44828,0.56793,0.35784,0.00154,0.05223,0.03379,0.34138,0.34909,0.04671,0.09007,0.28664,0.29457,0.41181,0.56680,0.30923,0.34138
ties-llama_2_7b-tulu_all_0.9-science_2500_0.1,0.45018,0.58967,0.15705,0.00000,0.04035,0.02105,0.41042,0.34528,0.05061,0.10852,0.32147,0.38122,0.45872,0.65217,0.31881,0.34528
ties-llama_2_7b-tulu_all_0.9-science_500_0.1,0.44742,0.62419,0.39676,0.00154,0.06327,0.02932,0.34307,0.34690,0.03702,0.09311,0.31111,0.34606,0.45283,0.62447,0.33031,0.34606
ties-llama_2_7b-tulu_all_0.9-science_upsample_0.1,0.43972,0.60828,0.47231,0.00000,0.04409,0.02405,0.35327,0.32001,0.04906,0.09094,0.30193,0.37791,0.49204,0.65672,0.33766,0.35327
tulu_2_70b_continued_ft-tulu_match-science_1000,0.35968,0.69062,0.70573,0.00213,0.09392,0.04696,0.62883,0.14743,0.00000,0.00000,0.35880,0.50696,0.55569,0.70698,0.38172,0.35968
tulu_2_70b_continued_ft-tulu_none-science_1000,0.22381,0.66805,0.70812,0.00235,0.04695,0.03521,0.56801,0.16620,0.01537,0.01738,0.41045,0.54593,0.57993,0.81416,0.38040,0.41045
tulu_2_7b_continued_ft-tulu_match-science_100,0.28070,0.45838,0.51598,0.00000,0.00000,0.00560,0.31318,0.12502,0.00000,0.00000,0.30989,0.30730,0.36130,0.57820,0.26260,0.30730
tulu_2_7b_continued_ft-tulu_match-science_1000,0.35426,0.55788,0.50986,0.00000,0.00000,0.00000,0.34573,0.10997,0.00000,0.00080,0.35569,0.42857,0.45952,0.61386,0.29787,0.35426
tulu_2_7b_continued_ft-tulu_match-science_200,0.32230,0.46436,0.51687,0.00000,0.01545,0.02208,0.32485,0.05883,0.00000,0.00000,0.32258,0.33107,0.38822,0.59414,0.26822,0.32258
tulu_2_7b_continued_ft-tulu_match-science_2500,0.32168,0.53411,0.50796,0.00182,0.03825,0.04007,0.50357,0.21180,0.00000,0.00000,0.29254,0.43216,0.47835,0.68966,0.32107,0.32168
tulu_2_7b_continued_ft-tulu_match-science_500,0.35546,0.51330,0.48993,0.00000,0.01609,0.01379,0.39502,0.18838,0.00000,0.00000,0.38938,0.41414,0.46726,0.64681,0.30986,0.38938
tulu_2_7b_continued_ft-tulu_none-science_100,0.29796,0.52168,0.57185,0.00000,0.00000,0.00000,0.38424,0.06643,0.00000,0.00000,0.30308,0.35200,0.39778,0.57297,0.27911,0.30308
tulu_2_7b_continued_ft-tulu_none-science_1000,0.34690,0.55602,0.58914,0.00000,0.00281,0.00000,0.52215,0.17627,0.06124,0.14878,0.35484,0.40379,0.44671,0.63000,0.34472,0.35484
tulu_2_7b_continued_ft-tulu_none-science_200,0.35743,0.49912,0.58054,0.00000,0.00000,0.00000,0.46025,0.16816,0.00301,0.00043,0.34783,0.34068,0.41603,0.62651,0.30763,0.34783
tulu_2_7b_continued_ft-tulu_none-science_2500,0.22888,0.54268,0.52086,0.00000,0.00451,0.00451,0.55556,0.20800,0.04881,0.10029,0.32293,0.42075,0.48100,0.62000,0.32484,0.32293
tulu_2_7b_continued_ft-tulu_none-science_500,0.37911,0.52974,0.55947,0.00000,0.00000,0.00000,0.48537,0.14429,0.04360,0.00000,0.37002,0.38961,0.42686,0.60377,0.31864,0.37911
tulu_2_7b_continued_ft-tulu_none-science_upsample,0.35826,0.52518,0.54768,0.00000,0.00000,0.00000,0.45286,0.21978,0.00000,0.00243,0.25026,0.41888,0.49590,0.64078,0.31055,0.35826
