task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,rouge1,f1_answer,f1_evidence,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
dare_linear-llama_2_7b-tulu_all_0.8-science_500_0.2,0.43462,0.49288,0.41143,0.00000,0.03270,0.01272,0.31603,0.26548,0.04158,0.05693,0.27804,0.30684,0.41895,0.58113,0.29251,0.30684
dare_linear-llama_2_7b-tulu_all_0.8-science_upsample_0.2,0.44043,0.52708,0.40455,0.00000,0.03175,0.01504,0.35196,0.28803,0.04271,0.04912,0.27536,0.32911,0.45323,0.59912,0.30357,0.32911
dare_linear-llama_2_7b-tulu_all_0.9-science_1000_0.1,0.42086,0.42922,0.38295,0.00000,0.03742,0.00748,0.31970,0.28286,0.04380,0.04266,0.25956,0.25000,0.37955,0.58621,0.27775,0.28286
dare_linear-llama_2_7b-tulu_all_0.9-science_100_0.1,0.42481,0.40210,0.37154,0.00000,0.03409,0.00379,0.33006,0.28408,0.03172,0.03328,0.22796,0.28063,0.38344,0.56250,0.27116,0.28408
dare_linear-llama_2_7b-tulu_all_0.9-science_200_0.1,0.46324,0.45271,0.36844,0.00000,0.04124,0.00937,0.31546,0.28007,0.03795,0.03756,0.21843,0.26128,0.37496,0.57798,0.27767,0.28007
dare_linear-llama_2_7b-tulu_all_0.9-science_2500_0.1,0.42328,0.40544,0.35785,0.00000,0.05449,0.02404,0.38238,0.26569,0.03565,0.03583,0.23600,0.27907,0.39033,0.55708,0.27570,0.27907
dare_linear-llama_2_7b-tulu_all_0.9-science_500_0.1,0.42234,0.42841,0.36702,0.00000,0.05383,0.01346,0.31805,0.28823,0.03216,0.04227,0.24418,0.25155,0.35855,0.54545,0.27213,0.28823
dare_linear-llama_2_7b-tulu_all_0.9-science_upsample_0.1,0.44403,0.60120,0.55286,0.00451,0.02480,0.02480,0.47561,0.30263,0.15020,0.35018,0.37440,0.41379,0.48982,0.63158,0.39284,0.41379
dare_ties-llama_2_7b-tulu_all_0.1-science_1000_0.9,0.43912,0.63942,0.57092,0.00268,0.01606,0.02142,0.54000,0.30338,0.11256,0.26961,0.34888,0.47086,0.53904,0.64912,0.39636,0.43912
dare_ties-llama_2_7b-tulu_all_0.1-science_100_0.9,0.42742,0.54021,0.54487,0.00000,0.03429,0.02095,0.36466,0.20886,0.05787,0.08648,0.27651,0.25743,0.33130,0.50746,0.30055,0.27651
dare_ties-llama_2_7b-tulu_all_0.1-science_200_0.9,0.40364,0.54873,0.56951,0.00000,0.00574,0.00574,0.48564,0.25714,0.13577,0.11149,0.33464,0.34461,0.42625,0.55892,0.34144,0.34461
dare_ties-llama_2_7b-tulu_all_0.1-science_2500_0.9,0.41732,0.55737,0.52726,0.00474,0.02370,0.01659,0.54781,0.25989,0.10231,0.23801,0.31788,0.43360,0.50928,0.69124,0.37422,0.41732
dare_ties-llama_2_7b-tulu_all_0.1-science_500_0.9,0.43382,0.57607,0.54315,0.00477,0.02145,0.01907,0.48210,0.29801,0.15617,0.34032,0.35531,0.42062,0.49667,0.63900,0.38782,0.42062
dare_ties-llama_2_7b-tulu_all_0.1-science_upsample_0.9,0.37624,0.57898,0.54141,0.00000,0.02133,0.00948,0.43585,0.30553,0.13852,0.32746,0.28541,0.42340,0.50562,0.68519,0.37448,0.37624
dare_ties-llama_2_7b-tulu_all_0.2-science_1000_0.8,0.44882,0.66000,0.56886,0.00528,0.01585,0.01321,0.53527,0.30752,0.10624,0.23105,0.33720,0.47393,0.53722,0.68936,0.39765,0.44882
dare_ties-llama_2_7b-tulu_all_0.2-science_100_0.8,0.45228,0.58425,0.53009,0.00000,0.04403,0.02516,0.35104,0.21242,0.08539,0.09938,0.26298,0.32108,0.37757,0.56557,0.31896,0.32108
dare_ties-llama_2_7b-tulu_all_0.2-science_200_0.8,0.40000,0.56306,0.57455,0.00000,0.00293,0.00587,0.47756,0.26238,0.12834,0.10666,0.33505,0.33704,0.40524,0.55782,0.34049,0.33704
dare_ties-llama_2_7b-tulu_all_0.2-science_2500_0.8,0.40951,0.58578,0.52614,0.00431,0.03452,0.02373,0.54099,0.26820,0.11051,0.26455,0.32928,0.44507,0.53237,0.70270,0.38339,0.40951
dare_ties-llama_2_7b-tulu_all_0.2-science_500_0.8,0.45161,0.60133,0.56088,0.00230,0.02989,0.02529,0.45745,0.30185,0.15651,0.34452,0.35842,0.44201,0.50360,0.65041,0.39590,0.44201
dare_ties-llama_2_7b-tulu_all_0.2-science_upsample_0.8,0.41348,0.61921,0.54679,0.00000,0.01985,0.01764,0.42616,0.30319,0.11312,0.25518,0.29597,0.41194,0.48242,0.67943,0.37130,0.41194
dare_ties-llama_2_7b-tulu_all_0.3-science_1000_0.7,0.43952,0.68782,0.53787,0.00473,0.02364,0.02128,0.51485,0.30540,0.09604,0.19257,0.33117,0.47321,0.52343,0.71255,0.39224,0.43952
dare_ties-llama_2_7b-tulu_all_0.3-science_100_0.7,0.38428,0.55854,0.51771,0.00000,0.04907,0.03123,0.33662,0.20660,0.07296,0.09943,0.29185,0.32451,0.39164,0.55970,0.30921,0.32451
dare_ties-llama_2_7b-tulu_all_0.3-science_200_0.7,0.40954,0.57294,0.54808,0.00000,0.01276,0.02041,0.46670,0.24939,0.12759,0.12197,0.31456,0.33333,0.39898,0.56655,0.33849,0.33333
dare_ties-llama_2_7b-tulu_all_0.3-science_2500_0.7,0.42400,0.58331,0.50039,0.00426,0.03834,0.02982,0.53004,0.28157,0.11890,0.19407,0.32925,0.43169,0.51122,0.70796,0.37632,0.42400
dare_ties-llama_2_7b-tulu_all_0.3-science_500_0.7,0.43460,0.62626,0.54251,0.00181,0.04170,0.03626,0.40737,0.29283,0.15326,0.12589,0.32674,0.43421,0.50573,0.65116,0.36696,0.40737
dare_ties-llama_2_7b-tulu_all_0.3-science_upsample_0.7,0.43464,0.62073,0.54617,0.00000,0.02299,0.02926,0.43065,0.29879,0.08985,0.23611,0.31355,0.38182,0.46589,0.65327,0.36623,0.38182
dare_ties-llama_2_7b-tulu_all_0.4-science_1000_0.6,0.44706,0.65948,0.53100,0.00177,0.04082,0.03194,0.46594,0.26439,0.10749,0.11312,0.33517,0.45702,0.50651,0.66406,0.37141,0.44706
dare_ties-llama_2_7b-tulu_all_0.4-science_100_0.6,0.38028,0.56925,0.48167,0.00000,0.06277,0.02996,0.32332,0.22449,0.07803,0.07918,0.30558,0.31321,0.39029,0.55970,0.30704,0.31321
dare_ties-llama_2_7b-tulu_all_0.4-science_200_0.6,0.41200,0.62018,0.50809,0.00178,0.05526,0.03743,0.42272,0.23678,0.13559,0.10016,0.28793,0.28630,0.37795,0.56655,0.33014,0.28793
dare_ties-llama_2_7b-tulu_all_0.4-science_2500_0.6,0.42169,0.61900,0.48446,0.00372,0.04837,0.05581,0.49802,0.29286,0.11842,0.11517,0.28217,0.41962,0.50881,0.68750,0.36248,0.41962
dare_ties-llama_2_7b-tulu_all_0.4-science_500_0.6,0.42333,0.62731,0.53160,0.00175,0.04895,0.03497,0.38149,0.26101,0.16159,0.11104,0.32340,0.41284,0.47371,0.64865,0.35738,0.38149
dare_ties-llama_2_7b-tulu_all_0.4-science_upsample_0.6,0.46078,0.64839,0.52299,0.00000,0.03854,0.02697,0.40811,0.29059,0.06902,0.15980,0.31127,0.38066,0.45465,0.68966,0.36180,0.38066
dare_ties-llama_2_7b-tulu_all_0.5-science_1000_0.5,0.47399,0.63698,0.48475,0.00165,0.05624,0.04797,0.39963,0.24168,0.09603,0.11227,0.32083,0.41228,0.48712,0.67984,0.35587,0.39963
dare_ties-llama_2_7b-tulu_all_0.5-science_100_0.5,0.34906,0.60347,0.47726,0.00000,0.06795,0.04131,0.31833,0.23919,0.06480,0.08033,0.25875,0.28515,0.37677,0.56589,0.30093,0.28515
dare_ties-llama_2_7b-tulu_all_0.5-science_200_0.5,0.40288,0.59495,0.48986,0.00340,0.05787,0.03745,0.35062,0.24463,0.09822,0.07402,0.26876,0.27234,0.37747,0.55245,0.30969,0.27234
dare_ties-llama_2_7b-tulu_all_0.5-science_2500_0.5,0.45049,0.61343,0.45220,0.00360,0.05755,0.05216,0.43020,0.29467,0.05728,0.09625,0.29867,0.38889,0.47029,0.69880,0.34895,0.38889
dare_ties-llama_2_7b-tulu_all_0.5-science_500_0.5,0.42366,0.62894,0.48435,0.00000,0.05864,0.03395,0.34648,0.25523,0.09967,0.09984,0.29905,0.38428,0.44949,0.59480,0.33409,0.34648
dare_ties-llama_2_7b-tulu_all_0.5-science_upsample_0.5,0.48921,0.64180,0.50023,0.00000,0.04296,0.03436,0.37571,0.28787,0.05187,0.09234,0.30012,0.37015,0.43531,0.63959,0.34471,0.37015
dare_ties-llama_2_7b-tulu_all_0.6-science_1000_0.4,0.42205,0.59410,0.45117,0.00142,0.07082,0.04674,0.34483,0.26499,0.05637,0.08462,0.29756,0.34483,0.43096,0.60076,0.32110,0.34483
dare_ties-llama_2_7b-tulu_all_0.6-science_100_0.4,0.38426,0.57999,0.46618,0.00000,0.07367,0.03274,0.33234,0.27719,0.03941,0.05879,0.26822,0.28682,0.39502,0.56705,0.30308,0.28682
dare_ties-llama_2_7b-tulu_all_0.6-science_200_0.4,0.41633,0.58860,0.44574,0.00154,0.06023,0.04170,0.35016,0.28627,0.06068,0.08135,0.28169,0.27686,0.39133,0.57246,0.31094,0.28627
dare_ties-llama_2_7b-tulu_all_0.6-science_2500_0.4,0.45614,0.56403,0.42605,0.00000,0.05405,0.04259,0.37827,0.31561,0.05175,0.06705,0.29686,0.34568,0.44581,0.63830,0.32671,0.34568
dare_ties-llama_2_7b-tulu_all_0.6-science_500_0.4,0.45972,0.60417,0.45193,0.00000,0.06760,0.03674,0.32105,0.31010,0.04811,0.07885,0.27878,0.33875,0.43480,0.63846,0.32705,0.32105
dare_ties-llama_2_7b-tulu_all_0.6-science_upsample_0.4,0.47191,0.63076,0.46813,0.00000,0.05195,0.03409,0.36505,0.29213,0.03693,0.08667,0.28475,0.34286,0.44459,0.64078,0.33381,0.34286
dare_ties-llama_2_7b-tulu_all_0.7-science_1000_0.3,0.43545,0.57331,0.42973,0.00000,0.04674,0.03683,0.31876,0.30959,0.04313,0.06838,0.27400,0.31837,0.44378,0.60870,0.31147,0.31837
dare_ties-llama_2_7b-tulu_all_0.7-science_100_0.3,0.44583,0.53704,0.41894,0.00000,0.05925,0.02312,0.31257,0.26417,0.03570,0.05230,0.26382,0.29119,0.38998,0.56667,0.29523,0.29119
dare_ties-llama_2_7b-tulu_all_0.7-science_200_0.3,0.30345,0.56282,0.43996,0.00143,0.06600,0.04017,0.32899,0.33533,0.04102,0.06502,0.24018,0.27171,0.41928,0.56923,0.29306,0.30345
dare_ties-llama_2_7b-tulu_all_0.7-science_2500_0.3,0.46278,0.53123,0.38729,0.00149,0.05082,0.03139,0.37479,0.25649,0.04397,0.06390,0.28213,0.35096,0.47126,0.61925,0.31124,0.35096
dare_ties-llama_2_7b-tulu_all_0.7-science_500_0.3,0.43831,0.56504,0.42464,0.00000,0.06198,0.04233,0.32627,0.30421,0.04281,0.07626,0.27364,0.29712,0.41730,0.57143,0.30743,0.30421
dare_ties-llama_2_7b-tulu_all_0.7-science_upsample_0.3,0.47514,0.56062,0.44881,0.00142,0.07512,0.02693,0.36307,0.29844,0.04101,0.07439,0.27321,0.32275,0.42602,0.59804,0.32096,0.32275
