model_key,base_model,tulu_model,tulu_model_weight,domain_model,domain_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_eval,codex_eval_plus_temp_0.1,codex_eval_plus_temp_0.8,mbpp_temp_0.1,mbpp_temp_0.8,bioasq_f1,biored_f1,discomat_bleu,evidence_inference_f1_exact,evidence_inference_f1_overlap,evidence_inference_f1_substring,multicite_f1,mup_lm_judge_reference,mup_rouge,qasper_f1_answer,qasper_f1_evidence,qasper_lm_judge_answer,scierc_f1,scifact_f1_evidence_sent,scifact_f1_evidence_token,scifact_f1_label,mean_null,median_null,bioasq_f1_TEST,biored_f1_TEST,discomat_bleu_TEST,evidence_inference_f1_exact_TEST,evidence_inference_f1_overlap_TEST,evidence_inference_f1_substring_TEST,multicite_f1_TEST,mup_lm_judge_reference_TEST,mup_rouge_TEST,qasper_f1_answer_TEST,qasper_f1_evidence_TEST,qasper_lm_judge_answer_TEST,scierc_f1_TEST,scifact_f1_evidence_sent_TEST,scifact_f1_evidence_token_TEST,scifact_f1_label_TEST,mean_null_TEST,median_null_TEST,harmbench,safe_average,unsafe_average
linear_weighted-llama_2_7b-tulu_all_0.9-llama_2_7b-tulu_none-coding_100_0.1,llama_2_7b,tulu_all,0.9,coding_100,0.1,linear_weighted,0.4592592592592592,0.3638888888888889,0.2149390243902439,0.37302577453506247,0.305,0.08,0.4944452357214072,0.5103261643640506,0.6497142857142857,0.4810281517747858,46.84876228903816,12.22430785531355,75.093399750934,0.14054878048780486,0.29139913077181817,0.3109712230215827,0.48701439160434185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_weighted-llama_2_7b-tulu_all_0.7-llama_2_7b-tulu_none-coding_100_0.3,llama_2_7b,tulu_all,0.7,coding_100,0.3,linear_weighted,0.46666666666666673,0.387037037037037,0.26890243902439026,0.4665200483274183,0.29,0.09,0.4920951431420026,0.5059820538384845,0.6402857142857142,0.48959608323133413,44.18875510735212,11.830892510501636,74.90636704119851,0.1826219512195122,0.3952429149797571,0.3366906474820144,0.5232146158627884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_weighted-llama_2_7b-tulu_all_0.8-llama_2_7b-tulu_none-coding_100_0.2,llama_2_7b,tulu_all,0.8,coding_100,0.2,linear_weighted,0.42407407407407405,0.3861111111111111,0.24969512195121954,0.42276943116537613,0.305,0.09,0.4939467312348668,0.511038313630537,0.6618571428571428,0.4908200734394125,45.45144365609607,12.042982709172005,75.24875621890547,0.1667682926829268,0.3553379104094576,0.3251798561151079,0.5139605283016869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_weighted-llama_2_7b-tulu_all_0.6-llama_2_7b-tulu_none-coding_100_0.4,llama_2_7b,tulu_all,0.6,coding_100,0.4,linear_weighted,0.42777777777777787,0.36574074074074076,0.29603658536585364,0.5242003428120623,0.265,0.09,0.48760860276313917,0.5029198119925936,0.6125714285714285,0.5079559363525091,42.659040925752194,12.175655730972608,74.59627329192546,0.19634146341463415,0.42324675815010326,0.3444244604316547,0.546281477059146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_weighted-llama_2_7b-tulu_all_0.5-llama_2_7b-tulu_none-coding_100_0.5,llama_2_7b,tulu_all,0.5,coding_100,0.5,linear_weighted,0.413888888888889,0.39537037037037037,0.3170731707317073,0.5648999022573742,0.25,0.07,0.4816265489246546,0.49736504771400086,0.5981428571428572,0.5091799265605875,41.25831046370481,12.134494322283972,74.22360248447205,0.22225609756097564,0.4544020881331159,0.3661870503597122,0.5601620048437208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_weighted-llama_2_7b-tulu_all_0.4-llama_2_7b-tulu_none-coding_100_0.6,llama_2_7b,tulu_all,0.4,coding_100,0.6,linear_weighted,0.4342592592592593,0.37592592592592594,0.34329268292682924,0.5934959899648792,0.225,0.065,0.47414898162654895,0.49230878792194843,0.6078571428571429,0.5104039167686658,39.64155506586249,11.902882889194144,73.22981366459628,0.25518292682926824,0.4660003780860082,0.36780575539568344,0.5787455272526659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_weighted-llama_2_7b-tulu_all_0.3-llama_2_7b-tulu_none-coding_100_0.7,llama_2_7b,tulu_all,0.3,coding_100,0.7,linear_weighted,0.4518518518518518,0.3546296296296297,0.3637195121951219,0.6436090857341706,0.23,0.06,0.467098703888335,0.4772112234724398,0.6562857142857143,0.5067319461444308,38.70949255035168,11.90770460879589,70.86956521739131,0.28170731707317076,0.5267132814327559,0.37248201438848916,0.5899144483153438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_weighted-llama_2_7b-tulu_all_0.2-llama_2_7b-tulu_none-coding_100_0.8,llama_2_7b,tulu_all,0.2,coding_100,0.8,linear_weighted,0.3907407407407408,0.32777777777777783,0.38749999999999996,0.6600764541657843,0.185,0.055,0.4535678678250961,0.46439253667568725,0.6701428571428572,0.5006119951040392,37.89854607240097,11.818617780851158,69.58955223880598,0.29878048780487804,0.5313407756254921,0.38219424460431656,0.5787179193837767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linear_weighted-llama_2_7b-tulu_all_0.1-llama_2_7b-tulu_none-coding_100_0.9,llama_2_7b,tulu_all,0.1,coding_100,0.9,linear_weighted,0.4055555555555555,0.32407407407407407,0.4198170731707317,0.6654878761652151,0.195,0.04,0.43747329440250676,0.4297820823244552,0.691,0.4749082007343941,37.2219874078781,12.156915848722862,67.43462017434621,0.30335365853658536,0.5402569849541835,0.37967625899280577,0.5968542644072189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tulu_2_7b-tulu_none-science_2500,tulu_2_7b,tulu_none,1.0,science_2500,1.0,N/A,0.437962962962963,0.39537037037037037,0.12865853658536583,0.2491145539878833,0.235,0.065,0.4522859991454209,0.46745477852157813,0.8117142857142857,0.3806609547123623,53.83488757680726,14.023682067706021,19.01496259351621,0.0,0.0,0.0,0.0,0.00694,0.57008,0.55064,0.0,0.06395,0.03749,0.53813,0.0,0.17592,0.20361,0.44045,0.0,0.31949,0.39344,0.45996,0.59615,0.3508,0.39344,0.00694,0.57444,0.55064,0.0,0.06367,0.03952,0.53813,0.0,0.17716,0.20505,0.44042,0.0,0.31949,0.39344,0.45996,0.59615,0.35141,0.39344,,,
