task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,scierc,scifact,scifact,scifact,mean,median
metric,f1,f1,bleu,f1_exact,f1_overlap,f1_substring,f1,bleu,bleu,f1,f1_evidence_sent,f1_evidence_token,f1_label,null,null
linear_weighted-llama_2_7b-tulu_all_0.8-science_2500_0.2,0.34437,0.52652,0.42439,0.00141,0.07198,0.03387,0.33882,0.00915,0.01066,0.28690,0.27692,0.41108,0.58065,0.28704,0.31286
linear_weighted-llama_2_7b-tulu_all_0.8-science_500_0.2,0.35762,0.53829,0.43951,0.00000,0.06508,0.02305,0.32311,0.00849,0.01261,0.27621,0.28501,0.39881,0.58723,0.28932,0.30406
linear_weighted-llama_2_7b-tulu_all_0.9-science_1000_0.1,0.32751,0.42260,0.39816,0.00000,0.05016,0.01780,0.32205,0.00945,0.01040,0.26614,0.28571,0.40751,0.56621,0.26584,0.30388
linear_weighted-llama_2_7b-tulu_all_0.9-science_100_0.1,0.34409,0.38447,0.40185,0.00170,0.05277,0.01362,0.32131,0.00922,0.01157,0.24203,0.29703,0.39921,0.51402,0.25783,0.30917
linear_weighted-llama_2_7b-tulu_all_0.9-science_200_0.1,0.32517,0.45676,0.39699,0.00000,0.05418,0.02231,0.32282,0.00931,0.00948,0.23569,0.26696,0.40250,0.53211,0.26095,0.29489
linear_weighted-llama_2_7b-tulu_all_0.9-science_2500_0.1,0.31983,0.38059,0.39525,0.00000,0.05709,0.01211,0.33008,0.00882,0.01344,0.23000,0.29067,0.40762,0.54286,0.25686,0.30525
linear_weighted-llama_2_7b-tulu_all_0.9-science_500_0.1,0.32174,0.42489,0.41436,0.00000,0.04878,0.00841,0.32425,0.00995,0.01266,0.24303,0.28998,0.41069,0.55708,0.26467,0.30586
llama_2_7b-tulu_all-science_none-seed_123,0.30488,0.15135,0.35319,0.00000,0.03070,0.00000,0.33588,0.01055,0.01643,0.21269,0.25820,0.34959,0.48205,0.21559,0.23544
llama_2_7b-tulu_all-science_none-seed_42,0.30522,0.15135,0.35319,0.00000,0.03070,0.00000,0.33544,0.01069,0.01541,0.21218,0.26122,0.34682,0.47423,0.21496,0.23670
llama_2_7b-tulu_all-science_none-seed_52830,0.30488,0.15135,0.35319,0.00000,0.03070,0.00000,0.33588,0.01069,0.01541,0.21269,0.25820,0.34959,0.48205,0.21550,0.23544
llama_2_7b-tulu_match-science_100,0.29048,0.43238,0.50054,0.00000,0.02589,0.02104,0.32883,0.00660,0.02614,0.33746,0.32000,0.37537,0.56067,0.28290,0.32441
llama_2_7b-tulu_match-science_200,0.28506,0.53034,0.52540,0.00000,0.04187,0.02738,0.32500,0.00807,0.03009,0.35748,0.33279,0.39226,0.54804,0.29841,0.32889
llama_2_7b-tulu_none-science_100,0.31064,0.50372,0.56150,0.00000,0.01818,0.00909,0.37171,0.00175,0.01817,0.28571,0.20253,0.25139,0.37126,0.26452,0.29818
llama_2_7b-tulu_none-science_200,0.28972,0.53174,0.57161,0.00000,0.00582,0.00291,0.48977,0.00233,0.02274,0.34372,0.33434,0.38632,0.55363,0.31454,0.33903
llama_2_7b-tulu_none-science_500,0.36175,0.59427,0.52279,0.00000,0.00979,0.00979,0.47788,0.00919,0.15150,0.37883,0.39323,0.45646,0.58515,0.34844,0.38603
llama_2_7b-tulu_none-science_1000,0.34437,0.61871,0.56070,0.00000,0.00284,0.00284,0.54415,0.00888,0.06358,0.35614,0.41551,0.47902,0.56716,0.34820,0.38582
llama_2_7b-tulu_none-science_2500,0.34553,0.53942,0.52249,0.00000,0.00521,0.00260,0.54563,0.00570,0.10563,0.32979,0.42941,0.47041,0.66010,0.34889,0.38747
llama_2_7b-tulu_none-science_1000-seed_123,0.34802,0.61871,0.56070,0.00000,0.00284,0.00284,0.54415,0.00925,0.06355,0.35614,0.40111,0.46439,0.57000,0.34745,0.37863
llama_2_7b-tulu_none-science_1000-seed_52830,0.34802,0.61229,0.56070,0.00000,0.00284,0.00284,0.54415,0.00888,0.06355,0.35614,0.40111,0.46439,0.57000,0.34677,0.37863
tulu_2_7b_continued_ft-tulu_match-science_100,0.28070,0.45838,0.51598,0.00000,0.00000,0.00560,0.31318,0.00529,0.00598,0.30989,0.30730,0.36130,0.57820,0.27749,0.30860
tulu_2_7b_continued_ft-tulu_match-science_200,0.32230,0.46436,0.51687,0.00000,0.01545,0.02208,0.32485,0.00179,0.00749,0.32258,0.33107,0.38822,0.59414,0.29009,0.32372
tulu_2_7b_continued_ft-tulu_match-science_2500,0.32168,0.53411,0.50796,0.00182,0.03825,0.04007,0.50357,0.00638,0.01582,0.29254,0.43216,0.47835,0.68966,0.33421,0.37692
tulu_2_7b_continued_ft-tulu_none-science_100,0.29796,0.52168,0.57185,0.00000,0.00000,0.00000,0.38424,0.00129,0.01438,0.30308,0.35200,0.39778,0.57297,0.30195,0.32754
tulu_2_7b_continued_ft-tulu_none-science_1000,0.34690,0.55602,0.58914,0.00000,0.00281,0.00000,0.52215,0.00556,0.11337,0.35484,0.40379,0.44671,0.63000,0.35246,0.37931
tulu_2_7b_continued_ft-tulu_none-science_200,0.35743,0.49912,0.58054,0.00000,0.00000,0.00000,0.46025,0.00496,0.01101,0.34783,0.34068,0.41603,0.62651,0.32283,0.35263
tulu_2_7b_continued_ft-tulu_none-science_500,0.37911,0.52974,0.55947,0.00000,0.00000,0.00000,0.48537,0.00439,0.01437,0.37002,0.38961,0.42686,0.60377,0.33359,0.38436
