model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_farm,bioasq,biored,discomat,evidence_inference,multicite,mup,qasper,scierc,scifact,mean,median,invert_toxigen,Tulu Average (Other Evals),Tulu Average (Tulu Subset),Science Average,Combo,Order
tulu_2_7b_continued_ft-tulu_match-science_500,tulu_2_7b_continued_ft,tulu_match,1.0,science_500,1.0,N/A,0.4083333333333333,0.40185185185185185,0.18170731707317073,0.36383365746991814,0.32,0.05,0.4946588805013531,0.5105398091439965,0.8664285714285714,0.5336597307221542,0.5127289700419627,0.13019633096406336,0.4606741573033708,0.35546,0.5133,0.48993,0.01379,0.39502,0.18838,0.0,0.38938,0.64681,0.30986,0.38938,0.13357142857142856,0.2974725196961798,0.40343251974294014,0.30986,Tulu 2 7B -> Tulu Match & Science 500,1.0
llama_2_7b-tulu_all-science_200,llama_2_7b,tulu_all,1.0,science_200,1.0,N/A,0.45185185185185184,0.4009259259259259,0.2344512195121951,0.3854637679016596,0.37,0.065,0.507050277738214,0.5111807434838342,0.8142857142857143,0.5006119951040392,0.520396193026609,0.14624217941372705,0.3001245330012453,0.31059,0.41944,0.46126,0.02372,0.44007,0.23405,0.0,0.32954,0.58871,0.28369,0.3172,0.18571428571428572,0.3114968019699194,0.40265161304223807,0.28369,Llama 2 7B -> Tulu All & Science 200,1.0
llama_2_7b-tulu_all-science_1000,llama_2_7b,tulu_all,1.0,science_1000,1.0,N/A,0.45092592592592595,0.3787037037037037,0.22317073170731708,0.360373853662761,0.365,0.07,0.49487252528129894,0.5105398091439965,0.8287142857142857,0.5250917992656059,0.5010157926301786,0.14462941866258724,0.33665835411471323,0.371,0.49812,0.51519,0.03733,0.43991,0.21844,0.0,0.34817,0.63158,0.31392,0.371,0.17128571428571426,0.3062639120602669,0.4006529956457748,0.31392,Llama 2 7B -> Tulu All & Science 1000,1.0
llama_2_7b-tulu_all-science_500,llama_2_7b,tulu_all,1.0,science_500,1.0,N/A,0.4370370370370371,0.3833333333333333,0.21128048780487804,0.3873126797690718,0.315,0.065,0.5004272895598918,0.5104685942173479,0.8124285714285714,0.5091799265605875,0.522165829028419,0.13678834973204784,0.35199004975124376,0.30909,0.56002,0.47191,0.03083,0.40079,0.24413,0.0,0.3522,0.64655,0.3059,0.33854,0.1875714285714286,0.3028898932174925,0.40133553003470995,0.3059,Llama 2 7B -> Tulu All & Science 500,1.0
tulu_2_70b_continued_ft-tulu_none-science_1000,tulu_2_70b_continued_ft,tulu_none,0.0,science_1000,1.0,N/A,0.6407407407407406,0.5361111111111111,0.3128048780487805,0.5716559454288821,0.63,0.16,0.6538954564876798,0.6876513317191283,0.8727142857142857,0.4883720930232558,0.6635269374930357,0.2479062635514957,0.2111801242236025,0.22381,0.66805,0.70812,0.03521,0.56801,0.1662,0.01738,0.41045,0.81416,0.3804,0.41045,0.12728571428571434,0.4386874860249406,0.49833212646036384,0.3804,Tulu 2 70B -> Tulu None & Science 1000,0.0
llama_2_7b-tulu_none-science_upsample,llama_2_7b,tulu_none,0.0,science_upsample,1.0,N/A,0.35185185185185197,0.3268518518518519,0.09115853658536585,0.17863715703612254,0.075,0.05,0.38548639794901013,0.4134026491952713,0.7947142857142857,0.3317013463892289,0.49755122156658643,0.12203530385869349,0.06973848069738481,0.34884,0.56002,0.52963,0.00512,0.44082,0.263,0.19314,0.27725,0.65347,0.3429,0.34884,0.2052857142857143,0.23614183178107565,0.2619065212219874,0.3429,Llama 2 7B -> Tulu None & Science Upsample,0.0
tulu_2_7b_continued_ft-tulu_none-science_upsample,tulu_2_7b_continued_ft,tulu_none,0.0,science_upsample,1.0,N/A,0.3601851851851852,0.35555555555555557,0.1429878048780488,0.21391595454307832,0.2,0.035,0.45940749181028345,0.46952001139438826,0.8305714285714285,0.42962056303549573,0.4870748501766039,0.12232702996530394,0.18102372034956304,0.35826,0.52518,0.54768,0.0,0.45286,0.21978,0.00243,0.25026,0.64078,0.31055,0.35826,0.16942857142857148,0.26581840219794745,0.3125820420660977,0.31055,Tulu 2 7B -> Tulu None & Science Upsample,0.0
llama_2_70b-tulu_none-science_100,llama_2_70b,tulu_none,0.0,science_100,1.0,N/A,0.625,0.5435185185185185,0.17286585365853657,0.3027356714115757,0.615,0.165,0.6473436832360062,0.6844466600199401,0.8238571428571428,0.4039167686658507,0.6560413179304283,0.2584627365988798,0.058385093167701865,0.33956,0.60498,0.7026,0.05195,0.57502,0.09859,0.0,0.37232,0.66986,0.35927,0.37232,0.17614285714285716,0.4181234048026359,0.43557067394430254,0.35927,Llama 2 70B -> Tulu None & Science 100,0.0
llama_2_70b-tulu_none-science_1000,llama_2_70b,tulu_none,0.0,science_1000,1.0,N/A,0.6194444444444444,0.5203703703703703,0.2079268292682927,0.4454076609413391,0.575,0.135,0.6369463039453069,0.6791055405212932,0.8324285714285714,0.386780905752754,0.6729322445213037,0.2528989682716702,0.07950310559006211,0.38011,0.67972,0.71852,0.05038,0.63988,0.29112,0.01188,0.44118,0.73333,0.40908,0.44118,0.1675714285714286,0.4124012081588199,0.44794826172082985,0.40908,Llama 2 70B -> Tulu None & Science 1000,0.0
linear_weighted-llama_2_7b-tulu_all_0.1-science_100_0.9,llama_2_7b,tulu_all,0.1,science_100,0.9,linear_weighted,0.38055555555555565,0.33148148148148143,0.13140243902439025,0.2032063119241251,0.14,0.095,0.42515311209229456,0.4552058111380145,0.7995714285714286,0.3427172582619339,0.5607499078683438,0.15505137588415085,0.06343283582089553,0.32889,0.55969,0.55634,0.0161,0.37168,0.08926,0.0,0.27946,0.52133,0.27674,0.27946,0.2004285714285714,0.27055781977767523,0.289530444118965,0.27674,"Llama 2 7B -> Tulu All merged with Science 100, linear_weighted",0.1
