model_key,base_model,tulu_model,tulu_model_weight,science_model,science_model_weight,merge_method,bbh_cot,bbh_direct,codex_eval_temp_0.1,codex_eval_temp_0.8,gsm_cot,gsm_direct,mmlu_0shot,mmlu_5shot,toxigen,truthfulqa,tydiqa_goldp_1shot,tydiqa_no_context_1shot,alpaca_farm
llama_2_7b-tulu_all-safety_v0_all,llama_2_7b,tulu_all,1.0,safety_v0_all,1.0,N/A,0.4425925925925926,0.38148148148148153,0.20914634146341463,0.3680593362689565,0.325,0.07,0.49430280586810993,0.507050277738214,0.39585714285714285,0.4663402692778458,47.67193862786923,13.143712529458364,0.0
tulu-2-7b_safety_adapt_v0.1_contrastive_harmless_epoch1,tulu,2,1.0,7b_safety_adapt_v0.1_contrastive_harmless_epoch1,1.0,N/A,0.46018518518518514,0.3972222222222222,0.22378048780487805,0.34625391221328694,0.33,0.06,0.5020652328728101,0.512533827090158,0.027571428571428573,0.5055079559363526,48.48226014102487,12.951585798430974,0.0
tulu-2-7b-uncensored_safety_adapt_v0.1_contrastive_combined_epoch1,tulu,2,1.0,7b,1.0,N/A,0.462962962962963,0.41296296296296303,0.2225609756097561,0.35557279502193795,0.34,0.065,0.501709158239567,0.5120353226036177,0.0,0.5275397796817626,47.677040098834944,12.423152725785876,0.0
llama_2_7b-tulu_none-safety_40,llama_2_7b,tulu_none,0.0,safety_40,1.0,N/A,0.14259259259259258,0.24166666666666672,0.12378048780487803,0.1709204532913285,0.09,0.015,0.3612733228884774,0.368964534966529,0.0,0.39167686658506734,22.119022930018406,5.216366528311383,0.0
llama_2_7b-tulu_none-safety_20,llama_2_7b,tulu_none,0.0,safety_20,1.0,N/A,0.1425925925925926,0.21388888888888888,0.12804878048780488,0.21567044391838625,0.1,0.005,0.3568579974362626,0.3664720125338271,0.0,0.3463892288861689,25.46600577264565,6.404693853613869,0.0
llama_2_7b-tulu_none-safety_60,llama_2_7b,tulu_none,0.0,safety_60,1.0,N/A,0.09629629629629628,0.25833333333333336,0.1228658536585366,0.19251492013989183,0.085,0.02,0.34325594644637514,0.34054977923372737,0.0,0.42472460220318237,21.323315692760833,5.317802539062042,0.0
llama_2_7b-tulu_none-safety_80,llama_2_7b,tulu_none,0.0,safety_80,1.0,N/A,0.1435185185185185,0.2796296296296297,0.1173780487804878,0.19691752972542825,0.08,0.035,0.3835635949294972,0.37829369035749894,0.0,0.4039167686658507,23.479538728208198,5.531919216437893,0.0
llama_2_7b-tulu_none-safety_upsample,llama_2_7b,tulu_none,0.0,safety_upsample,1.0,N/A,0.2537037037037037,0.287962962962963,0.08780487804878048,0.1734733589298265,0.06,0.055,0.3118501637943313,0.3183307221193562,0.0,0.40514075887392903,25.120101627225722,5.452925672653563,0.0
llama_2_7b-tulu_none-safety_100,llama_2_7b,tulu_none,0.0,safety_100,1.0,N/A,0.13888888888888887,0.27962962962962956,0.12195121951219512,0.19123524949716147,0.1,0.05,0.36227033186155816,0.36191425722831505,0.0,0.3843329253365973,17.62622656490548,3.9016465302479406,0.0
llama_2_7b-tulu_all-safety_none_seed_52830,llama_2_7b,tulu_all,1.0,safety_none_seed_52830,1.0,N/A,0.42685185185185187,0.3768518518518519,0.20914634146341463,0.35958976083947763,0.34,0.085,0.4905284147557328,0.5048426150121066,0.43514285714285716,0.4810281517747858,48.95371692527264,12.920098717026425,0.0
llama_2_7b-tulu_all-safety_none_seed_123,llama_2_7b,tulu_all,1.0,safety_none_seed_123,1.0,N/A,0.42685185185185187,0.3851851851851852,0.20243902439024392,0.38895763113274257,0.33,0.07,0.4888192565161658,0.5051986896453496,0.5875714285714285,0.47368421052631576,47.673184717615705,13.357687168023384,0.0
