task,bioasq,biored,discomat,evidence_inference,evidence_inference,evidence_inference,multicite,mup,qasper,qasper,scierc,scifact,scifact,scifact,mean,median
linear_weighted-llama_2_7b-tulu_all_0.2-science_2500_0.8_4096,0.44853,0.58852,0.55770,0.00431,0.03236,0.02589,0.53591,0.27747,0.18716,0.34956,0.34162,0.44886,0.53416,0.70642,0.40674,0.44853
linear_weighted-llama_2_7b-tulu_all_0.2-science_500_0.8_4096,0.44930,0.62289,0.58765,0.00210,0.03778,0.03358,0.45468,0.29682,0.18001,0.37214,0.36522,0.43723,0.51146,0.65079,0.40495,0.43723
linear_weighted-llama_2_7b-tulu_all_0.2-science_upsample_0.8_4096,0.41467,0.61716,0.57105,0.00000,0.01972,0.03286,0.43008,0.30376,0.15839,0.39457,0.31915,0.38438,0.46977,0.66667,0.38905,0.39457
linear_weighted-llama_2_7b-tulu_all_0.2-tulu_2_7b_science_2500_0.8,0.33255,0.57388,0.52930,0.00000,0.02550,0.01488,0.53458,0.28563,0.06403,0.14584,0.31544,0.43429,0.47709,0.66667,0.35525,0.33255
linear_weighted-llama_2_7b-tulu_all_0.3-science_1000_0.7_4096,0.43253,0.68938,0.60099,0.00221,0.03536,0.03978,0.51555,0.31000,0.12448,0.20812,0.33794,0.48513,0.52949,0.71837,0.40526,0.43253
linear_weighted-llama_2_7b-tulu_all_0.3-science_100_0.7_4096,0.43028,0.58094,0.56019,0.00000,0.04601,0.02761,0.34064,0.19337,0.12119,0.09605,0.29399,0.32130,0.38374,0.55303,0.32154,0.32130
linear_weighted-llama_2_7b-tulu_all_0.3-science_200_0.7_4096,0.42185,0.61447,0.65017,0.00000,0.00288,0.00288,0.46994,0.21845,0.18334,0.10549,0.33472,0.32946,0.40378,0.55973,0.35368,0.33472
linear_weighted-llama_2_7b-tulu_all_0.3-science_2500_0.7_4096,0.43931,0.62568,0.53114,0.00421,0.03575,0.03785,0.52400,0.28986,0.15419,0.25390,0.32563,0.44693,0.51532,0.69683,0.39302,0.43931
linear_weighted-llama_2_7b-tulu_all_0.3-science_500_0.7_4096,0.44697,0.64049,0.58609,0.00203,0.03850,0.04255,0.43125,0.29921,0.17743,0.21071,0.34588,0.42888,0.50290,0.66667,0.38837,0.42888
linear_weighted-llama_2_7b-tulu_all_0.3-science_upsample_0.7_4096,0.45172,0.64095,0.58072,0.00000,0.02529,0.03502,0.42008,0.29770,0.14714,0.31949,0.29754,0.38066,0.46562,0.65025,0.38287,0.38066
linear_weighted-llama_2_7b-tulu_all_0.3-tulu_2_7b_science_2500_0.7,0.36897,0.58831,0.52541,0.00000,0.04138,0.04729,0.51666,0.27738,0.07139,0.10982,0.32444,0.42781,0.48503,0.65766,0.35539,0.36897
linear_weighted-llama_2_7b-tulu_all_0.4-science_1000_0.6_4096,0.42917,0.67972,0.59068,0.00000,0.02963,0.03598,0.49048,0.30358,0.13590,0.11343,0.31991,0.46396,0.51318,0.71429,0.38825,0.42917
linear_weighted-llama_2_7b-tulu_all_0.4-science_100_0.6_4096,0.41276,0.57653,0.55258,0.00000,0.04468,0.04021,0.32963,0.20452,0.12815,0.09600,0.30119,0.32638,0.40037,0.55639,0.32080,0.32638
linear_weighted-llama_2_7b-tulu_all_0.4-science_200_0.6_4096,0.42586,0.63081,0.62467,0.00000,0.03462,0.02648,0.44864,0.22576,0.18452,0.10177,0.31323,0.32922,0.40920,0.56164,0.35279,0.32922
linear_weighted-llama_2_7b-tulu_all_0.4-science_2500_0.6_4096,0.41905,0.63138,0.52556,0.00380,0.03612,0.03802,0.50627,0.29773,0.15404,0.12681,0.31659,0.42817,0.50430,0.67265,0.37403,0.41905
linear_weighted-llama_2_7b-tulu_all_0.4-science_500_0.6_4096,0.45769,0.62644,0.54961,0.00183,0.04771,0.03853,0.40566,0.29481,0.16871,0.12085,0.31992,0.40826,0.47426,0.66409,0.36943,0.40566
linear_weighted-llama_2_7b-tulu_all_0.4-science_upsample_0.6_4096,0.45033,0.65851,0.56629,0.00000,0.03764,0.03593,0.41167,0.29215,0.10038,0.20325,0.31844,0.37725,0.45132,0.64322,0.36901,0.37725
linear_weighted-llama_2_7b-tulu_all_0.4-tulu_2_7b_science_2500_0.6,0.38768,0.58472,0.52347,0.00000,0.04805,0.04404,0.49398,0.25945,0.05716,0.10915,0.29143,0.44855,0.49415,0.67826,0.35290,0.38768
linear_weighted-llama_2_7b-tulu_all_0.5-science_1000_0.5_4096,0.45290,0.65603,0.59206,0.00164,0.07201,0.04255,0.42548,0.27517,0.14263,0.09220,0.32856,0.43049,0.49729,0.67954,0.37701,0.42548
linear_weighted-llama_2_7b-tulu_all_0.5-science_100_0.5_4096,0.43552,0.59806,0.55195,0.00145,0.07231,0.04049,0.31836,0.22830,0.10494,0.09325,0.28510,0.32157,0.39844,0.56061,0.32454,0.31836
linear_weighted-llama_2_7b-tulu_all_0.5-science_200_0.5_4096,0.42710,0.62939,0.59571,0.00187,0.05431,0.03558,0.39936,0.23776,0.16996,0.09596,0.30143,0.29053,0.38688,0.55749,0.34173,0.30143
linear_weighted-llama_2_7b-tulu_all_0.5-science_2500_0.5_4096,0.47510,0.62384,0.49051,0.00347,0.05373,0.04506,0.45596,0.30317,0.12983,0.11836,0.29703,0.39444,0.48267,0.67841,0.36549,0.39444
linear_weighted-llama_2_7b-tulu_all_0.5-science_500_0.5_4096,0.43825,0.64987,0.53927,0.00174,0.05052,0.03833,0.36997,0.28298,0.16533,0.11114,0.32505,0.40460,0.47179,0.64394,0.36190,0.36997
linear_weighted-llama_2_7b-tulu_all_0.5-science_upsample_0.5_4096,0.47018,0.65328,0.54631,0.00000,0.05178,0.04045,0.38637,0.29569,0.06743,0.11870,0.29827,0.35714,0.43559,0.60914,0.35039,0.35714
linear_weighted-llama_2_7b-tulu_all_0.5-tulu_2_7b_science_2500_0.5,0.40417,0.60584,0.50290,0.00000,0.05541,0.04290,0.45854,0.24617,0.06229,0.09534,0.29563,0.44149,0.48512,0.69565,0.35122,0.40417
linear_weighted-llama_2_7b-tulu_all_0.6-science_1000_0.4_4096,0.45098,0.61157,0.58014,0.00306,0.05505,0.04434,0.37514,0.25762,0.09922,0.10617,0.29967,0.39207,0.47369,0.64314,0.35189,0.37514
linear_weighted-llama_2_7b-tulu_all_0.6-science_100_0.4_4096,0.36199,0.57838,0.54202,0.00135,0.07573,0.03516,0.31362,0.25027,0.09125,0.08303,0.28043,0.28862,0.39042,0.56705,0.31203,0.28862
linear_weighted-llama_2_7b-tulu_all_0.6-science_200_0.4_4096,0.38760,0.61265,0.56482,0.00000,0.06026,0.04560,0.35781,0.25636,0.13175,0.08550,0.29425,0.29730,0.40119,0.57455,0.32935,0.29730
linear_weighted-llama_2_7b-tulu_all_0.6-science_2500_0.4_4096,0.45401,0.60457,0.45703,0.00161,0.05488,0.04681,0.38953,0.30899,0.10450,0.09997,0.29425,0.35450,0.44563,0.66960,0.34471,0.35450
linear_weighted-llama_2_7b-tulu_all_0.6-science_500_0.4_4096,0.43352,0.62462,0.55680,0.00159,0.06825,0.03968,0.33845,0.28449,0.11471,0.09443,0.31191,0.36916,0.45291,0.64093,0.34884,0.33845
linear_weighted-llama_2_7b-tulu_all_0.6-science_upsample_0.4_4096,0.45439,0.62210,0.54053,0.00000,0.05701,0.03301,0.36485,0.30156,0.04976,0.09152,0.29989,0.33623,0.44904,0.62376,0.34015,0.33623
linear_weighted-llama_2_7b-tulu_all_0.6-tulu_2_7b_science_2500_0.4,0.45825,0.59244,0.45008,0.00000,0.05170,0.04200,0.40140,0.21614,0.03677,0.09849,0.28950,0.44324,0.50169,0.68103,0.33810,0.40140
linear_weighted-llama_2_7b-tulu_all_0.7-science_1000_0.3_4096,0.44711,0.58246,0.55797,0.00000,0.06921,0.05047,0.34373,0.29059,0.04579,0.09050,0.28449,0.35800,0.46174,0.59109,0.33281,0.34373
linear_weighted-llama_2_7b-tulu_all_0.7-science_100_0.3_4096,0.43160,0.54963,0.52832,0.00136,0.06259,0.03129,0.31244,0.28160,0.05356,0.06895,0.28542,0.27790,0.40230,0.56790,0.31090,0.28542
linear_weighted-llama_2_7b-tulu_all_0.7-science_200_0.3_4096,0.34965,0.55707,0.54897,0.00000,0.06288,0.03834,0.33152,0.31637,0.04573,0.07703,0.26784,0.28302,0.39974,0.57576,0.31053,0.31637
linear_weighted-llama_2_7b-tulu_all_0.7-science_2500_0.3_4096,0.42647,0.57153,0.51260,0.00295,0.06043,0.04127,0.36357,0.28805,0.04717,0.07981,0.28726,0.31937,0.43194,0.61818,0.32495,0.31937
linear_weighted-llama_2_7b-tulu_all_0.7-science_500_0.3_4096,0.44776,0.59076,0.53889,0.00000,0.07122,0.04942,0.32681,0.29989,0.04673,0.08975,0.29136,0.31280,0.43554,0.60558,0.32923,0.31280
linear_weighted-llama_2_7b-tulu_all_0.7-science_upsample_0.3_4096,0.44815,0.57947,0.53753,0.00135,0.05934,0.03911,0.36517,0.29504,0.04338,0.08278,0.29759,0.29971,0.41573,0.62439,0.33023,0.29971
linear_weighted-llama_2_7b-tulu_all_0.7-tulu_2_7b_science_2500_0.3,0.46337,0.55547,0.13912,0.00000,0.07363,0.04057,0.34890,0.16955,0.03725,0.08804,0.28882,0.36788,0.45690,0.66960,0.29106,0.28882
linear_weighted-llama_2_7b-tulu_all_0.8-science_1000_0.2_4096,0.46269,0.53817,0.54780,0.00000,0.05962,0.03123,0.32568,0.28014,0.04289,0.07078,0.28366,0.30404,0.43938,0.57143,0.31699,0.30404
linear_weighted-llama_2_7b-tulu_all_0.8-science_100_0.2_4096,0.47490,0.49561,0.52751,0.00138,0.05513,0.02343,0.31488,0.26886,0.03901,0.04857,0.26172,0.27815,0.38990,0.56889,0.30302,0.27815
linear_weighted-llama_2_7b-tulu_all_0.8-science_200_0.2_4096,0.43154,0.53258,0.54586,0.00000,0.06108,0.03693,0.32158,0.30234,0.04123,0.06002,0.25727,0.27273,0.41250,0.58436,0.31005,0.30234
linear_weighted-llama_2_7b-tulu_all_0.8-science_2500_0.2_4096,0.45648,0.52652,0.52026,0.00139,0.08455,0.03604,0.33845,0.26909,0.03992,0.05725,0.28660,0.27676,0.40884,0.58333,0.31266,0.28660
linear_weighted-llama_2_7b-tulu_all_0.8-science_500_0.2_4096,0.47490,0.53919,0.53916,0.00000,0.07322,0.02712,0.32311,0.26321,0.04502,0.07416,0.27621,0.29412,0.40683,0.58369,0.31691,0.29412
linear_weighted-llama_2_7b-tulu_all_0.8-science_upsample_0.2_4096,0.43542,0.50885,0.53286,0.00000,0.05182,0.02801,0.35044,0.28693,0.04158,0.06548,0.25545,0.29016,0.41233,0.56585,0.30771,0.29016
linear_weighted-llama_2_7b-tulu_all_0.8-tulu_2_7b_science_2500_0.2,0.45703,0.51754,0.02983,0.00000,0.08238,0.03781,0.33032,0.13633,0.04267,0.07780,0.29231,0.32905,0.42064,0.61947,0.26498,0.29231
linear_weighted-llama_2_7b-tulu_all_0.84-science_2500_0.16,0.45401,0.48134,0.51676,0.00000,0.07038,0.02786,0.33115,0.27038,0.03776,0.05123,0.28512,0.26735,0.39118,0.57944,0.30408,0.28512
linear_weighted-llama_2_7b-tulu_all_0.9-science_1000_0.1_4096,0.45541,0.42363,0.51630,0.00000,0.05422,0.02169,0.32205,0.28132,0.03423,0.04685,0.26018,0.28632,0.41308,0.56881,0.29539,0.28632
linear_weighted-llama_2_7b-tulu_all_0.9-science_100_0.1_4096,0.42806,0.38357,0.51432,0.00166,0.05643,0.01494,0.32131,0.26902,0.02935,0.03528,0.24203,0.29423,0.39720,0.52830,0.28199,0.29423
linear_weighted-llama_2_7b-tulu_all_0.9-science_200_0.1_4096,0.44656,0.45694,0.51303,0.00000,0.05697,0.02463,0.32282,0.27367,0.03724,0.04320,0.23649,0.27232,0.40561,0.53704,0.29057,0.27367
linear_weighted-llama_2_7b-tulu_all_0.9-science_2500_0.1_4096,0.44898,0.38370,0.50650,0.00000,0.06107,0.01527,0.33014,0.27476,0.02690,0.03534,0.23000,0.28446,0.40497,0.56459,0.28604,0.28446
linear_weighted-llama_2_7b-tulu_all_0.9-science_500_0.1_4096,0.42413,0.42700,0.52468,0.00000,0.05397,0.01308,0.32425,0.26560,0.02844,0.03929,0.24303,0.28817,0.40889,0.56881,0.28976,0.28817
linear_weighted-llama_2_7b-tulu_all_0.9-science_upsample_0.1_4096,0.44203,0.38009,0.52205,0.00000,0.05313,0.01063,0.33290,0.28072,0.02665,0.03100,0.23054,0.28037,0.37122,0.51282,0.28112,0.28072
linear_weighted-llama_2_7b-tulu_all_0.9-tulu_2_7b_science_2500_0.1,0.44094,0.39004,0.47361,0.00000,0.06121,0.02420,0.32434,0.16216,0.04669,0.05967,0.24346,0.28288,0.38716,0.57798,0.27845,0.28288
llama_2_70b-tulu_none-science_1000_4096,0.37544,,,,,,,,,,,,,,0.37544,0.37544
llama_2_7b-tulu_0-science_380035,0.23697,0.47593,0.59341,0.00000,0.00000,0.00000,0.49724,0.21264,0.07505,0.18787,0.26211,0.38746,0.44831,0.65366,0.32567,0.26211
llama_2_7b-tulu_114011-science_266024,0.38640,0.56186,0.62468,0.00000,0.00559,0.00280,0.46896,0.25611,0.00501,0.00137,0.29424,0.45777,0.51582,0.63551,0.33614,0.38640
llama_2_7b-tulu_152014-science_228021,0.34879,0.56943,0.56948,0.00000,0.01619,0.00810,0.48862,0.25148,0.00150,0.00128,0.29880,0.41573,0.44596,0.65421,0.32868,0.34879
llama_2_7b-tulu_190018-science_190017,0.36140,0.59176,0.58627,0.00000,0.00454,0.00680,0.52454,0.28165,0.00000,0.00000,0.26293,0.42667,0.48979,0.68317,0.33845,0.36140
llama_2_7b-tulu_228021-science_152014,0.38077,0.55556,0.58314,0.00000,0.00793,0.00793,0.50432,0.24487,0.00000,0.00000,0.30388,0.40936,0.46317,0.64677,0.33060,0.38077
llama_2_7b-tulu_266025-science_114010,0.31622,0.58658,0.60874,0.00000,0.02860,0.02355,0.31955,0.25819,0.00052,0.00231,0.33565,0.43288,0.49467,0.63964,0.32081,0.31955
llama_2_7b-tulu_304028-science_76007,0.34874,0.55910,0.58379,0.00000,0.00000,0.00000,0.54791,0.15418,0.00000,0.00000,0.31787,0.44737,0.51189,0.64039,0.32721,0.34874
llama_2_7b-tulu_380035-science_0,0.19624,0.28724,0.26670,0.00000,0.02081,0.00462,0.38646,0.14232,0.00000,0.00000,0.11633,0.27019,0.37375,0.53333,0.20178,0.19624
llama_2_7b-tulu_38004-science_342031,0.27972,0.49128,0.59187,0.00000,0.00492,0.00492,0.48723,0.14908,0.00000,0.00000,0.27867,0.41926,0.48592,0.67633,0.30712,0.27972
llama_2_7b-tulu_76007-science_304028,0.36273,0.54244,0.57431,0.00000,0.00236,0.00708,0.49473,0.17835,0.04385,0.05432,0.22022,0.47025,0.52208,0.73832,0.33472,0.36273
llama_2_7b-tulu_all-science_none-seed_123_4096,0.42391,0.15372,0.47823,0.00000,0.02931,0.00000,0.33588,0.28451,0.02761,0.03022,0.21269,0.25963,0.35364,0.49485,0.24823,0.25963
llama_2_7b-tulu_all-science_none-seed_42_4096,0.41802,0.15129,0.47823,0.00000,0.02931,0.00000,0.33588,0.28420,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24740,0.25963
llama_2_7b-tulu_all-science_none-seed_52830_4096,0.41802,0.15129,0.47968,0.00000,0.02931,0.00000,0.33544,0.28420,0.02761,0.03022,0.21218,0.25963,0.35364,0.49485,0.24749,0.25963
llama_2_7b-tulu_all-science_100_4096,0.42692,0.48048,0.56704,0.00000,0.01031,0.00515,0.32073,0.21305,0.04555,0.08569,0.28208,0.33253,0.40012,0.58091,0.30412,0.32073
llama_2_7b-tulu_all-science_1000_4096,0.43892,0.50125,0.60559,0.00175,0.06114,0.05066,0.44088,0.23849,0.05082,0.13678,0.34449,0.39050,0.47356,0.65158,0.35095,0.39050
llama_2_7b-tulu_all-science_200_4096,0.43121,0.42009,0.55396,0.00000,0.01931,0.02575,0.44085,0.19349,0.05079,0.07754,0.32954,0.31720,0.40912,0.60630,0.31275,0.32954
llama_2_7b-tulu_all-science_2500_4096,0.44864,0.57175,0.59010,0.00182,0.04182,0.03818,0.47593,0.20654,0.05429,0.15369,0.34936,0.39243,0.47416,0.63348,0.35619,0.39243
llama_2_7b-tulu_all-science_2500_minus_tulu,0.18942,0.16377,0.32126,0.00000,0.00965,0.00241,0.35081,0.07414,0.02717,0.03164,0.17256,0.27421,0.34405,0.52667,0.19466,0.17256
llama_2_7b-tulu_all-science_2500_minus_science_2500,0.00000,0.00000,0.00116,0.00000,0.00000,0.00000,0.00000,0.00020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00012,0.00000
llama_2_7b-tulu_all-science_500_4096,0.42656,0.55976,0.56421,0.00000,0.04585,0.03820,0.40150,0.18825,0.04447,0.12160,0.35315,0.34414,0.44527,0.66116,0.33733,0.35315
llama_2_7b-tulu_all-science_upsample_4096,0.44663,0.53362,0.57944,0.00000,0.00287,0.00287,0.47103,0.24721,0.04931,0.13052,0.27628,0.42818,0.51757,0.61261,0.34343,0.42818
llama_2_7b-tulu_match-science_100_4096,0.37333,0.43238,0.59514,0.00000,0.02915,0.02105,0.32883,0.21667,0.11799,0.09531,0.33773,0.32210,0.37979,0.55870,0.30976,0.32883
llama_2_7b-tulu_match-science_1000_4096,0.42276,0.56128,0.62846,0.00000,0.00000,0.00000,0.48200,0.27305,0.07131,0.11530,0.36034,0.42359,0.48004,0.57436,0.35568,0.42276
llama_2_7b-tulu_match-science_200_4096,0.34820,0.53171,0.60136,0.00160,0.04629,0.03192,0.32500,0.20356,0.07618,0.09676,0.35748,0.33856,0.40979,0.57143,0.31787,0.33856
llama_2_7b-tulu_match-science_2500_4096,0.45629,0.57417,0.59339,0.00201,0.05025,0.04221,0.23839,0.25711,0.05525,0.12630,0.33237,0.41067,0.47422,0.61165,0.33689,0.33237
llama_2_7b-tulu_match-science_500_4096,0.38574,0.52851,0.62585,0.00000,0.01669,0.00834,0.45837,0.29154,0.11002,0.18833,0.36125,0.40319,0.46233,0.67170,0.36738,0.38574
llama_2_7b-tulu_none-science_1000-seed_123_4096,0.41916,0.61627,0.61961,0.00000,0.00281,0.00281,0.54415,0.29800,0.11711,0.26159,0.35614,0.41327,0.48934,0.60577,0.38672,0.41327
llama_2_7b-tulu_none-science_1000-seed_52830_4096,0.41916,0.61627,0.61961,0.00000,0.00281,0.00281,0.54415,0.29800,0.11939,0.26498,0.35614,0.40000,0.47605,0.60870,0.38629,0.40000
llama_2_7b-tulu_none-science_100_4096,0.42435,0.50328,0.57097,0.00000,0.01852,0.00926,0.37213,0.16735,0.05818,0.05847,0.28571,0.19048,0.25387,0.38323,0.27570,0.28571
llama_2_7b-tulu_none-science_1000_4096,0.41916,0.60983,0.61961,0.00000,0.00281,0.00281,0.54415,0.29853,0.11711,0.26159,0.35614,0.40000,0.47605,0.60870,0.38524,0.40000
llama_2_7b-tulu_none-science_200_4096,0.38155,0.53056,0.65447,0.00000,0.00581,0.00291,0.48977,0.19387,0.16209,0.08065,0.34275,0.33474,0.40228,0.56000,0.33966,0.34275
llama_2_7b-tulu_none-science_2500_4096,0.43920,0.53589,0.54904,0.00000,0.01266,0.00253,0.54563,0.26763,0.14813,0.31116,0.32839,0.43503,0.49652,0.67308,0.38598,0.43503
llama_2_7b-tulu_none-science_500_4096,0.44207,0.59266,0.57151,0.00470,0.02115,0.01880,0.47788,0.30247,0.16150,0.37619,0.37767,0.39759,0.46107,0.60426,0.39318,0.39759
llama_2_7b-tulu_none-science_upsample_4096,0.39045,0.56262,0.54670,0.00000,0.00508,0.00508,0.44082,0.30242,0.18286,0.41751,0.27725,0.41279,0.48536,0.67308,0.38287,0.41279
slerp-llama_2_7b-tulu_all_0.1-science_100_0.9_4096,0.42188,0.53407,0.57707,0.00000,0.02727,0.01636,0.37417,0.17685,0.09749,0.07637,0.28450,0.26991,0.33394,0.53881,0.30713,0.28450
slerp-llama_2_7b-tulu_all_0.1-science_200_0.9_4096,0.38697,0.56583,0.65039,0.00000,0.00579,0.00579,0.48780,0.20400,0.18010,0.09072,0.35397,0.33866,0.41025,0.55705,0.34739,0.35397
slerp-llama_2_7b-tulu_all_0.1-science_2500_0.9_4096,0.42300,0.58827,0.56473,0.00458,0.02978,0.01604,0.54341,0.27283,0.17051,0.36490,0.32497,0.42740,0.51717,0.69124,0.40010,0.42300
slerp-llama_2_7b-tulu_all_0.1-science_500_0.9_4096,0.45065,0.58589,0.58929,0.00219,0.02410,0.02410,0.47483,0.30342,0.19046,0.38130,0.38498,0.41068,0.48267,0.61925,0.40135,0.41068
slerp-llama_2_7b-tulu_all_0.1-science_upsample_0.9_4096,0.41654,0.59402,0.55819,0.00000,0.01843,0.02304,0.43502,0.30319,0.16164,0.41894,0.29733,0.40588,0.47482,0.65700,0.38783,0.41654
slerp-llama_2_7b-tulu_all_0.2-science_1000_0.8_4096,0.47217,0.66667,0.60383,0.00234,0.01405,0.01639,0.53479,0.30201,0.11777,0.26638,0.34447,0.47307,0.53753,0.68670,0.40745,0.47217
slerp-llama_2_7b-tulu_all_0.2-science_100_0.8_4096,0.45420,0.59138,0.58193,0.00000,0.03512,0.01505,0.35736,0.18191,0.11071,0.09244,0.28998,0.31765,0.37209,0.56452,0.32520,0.31765
slerp-llama_2_7b-tulu_all_0.2-science_200_0.8_4096,0.39548,0.57706,0.65088,0.00000,0.00000,0.00000,0.47924,0.20989,0.19073,0.09654,0.33676,0.34829,0.41730,0.54915,0.34855,0.34829
slerp-llama_2_7b-tulu_all_0.2-science_2500_0.8_4096,0.41456,0.58684,0.55542,0.00433,0.03467,0.02600,0.53415,0.27789,0.18662,0.35026,0.34093,0.44759,0.53236,0.70320,0.40292,0.41456
slerp-llama_2_7b-tulu_all_0.2-science_500_0.8_4096,0.44489,0.59639,0.58858,0.00211,0.03805,0.03594,0.45448,0.30035,0.18256,0.37624,0.36381,0.43220,0.50527,0.64567,0.40211,0.43220
slerp-llama_2_7b-tulu_all_0.2-science_upsample_0.8_4096,0.41720,0.61601,0.57371,0.00000,0.01730,0.02595,0.43060,0.30250,0.15876,0.39768,0.31557,0.38182,0.46379,0.66010,0.38829,0.39768
slerp-llama_2_7b-tulu_all_0.3-science_1000_0.7_4096,0.44711,0.68302,0.60251,0.00220,0.03524,0.03965,0.51455,0.30894,0.12423,0.20820,0.34439,0.48416,0.52520,0.71311,0.40595,0.44711
slerp-llama_2_7b-tulu_all_0.3-science_100_0.7_4096,0.42629,0.58266,0.55954,0.00000,0.04729,0.02899,0.34130,0.19272,0.12089,0.09605,0.29490,0.31852,0.37988,0.55939,0.32178,0.31852
slerp-llama_2_7b-tulu_all_0.3-science_200_0.7_4096,0.42205,0.62247,0.65038,0.00000,0.00288,0.00288,0.47016,0.22013,0.18334,0.10549,0.33437,0.33010,0.40468,0.55973,0.35464,0.33437
slerp-llama_2_7b-tulu_all_0.3-science_2500_0.7_4096,0.43931,0.62523,0.53285,0.00414,0.03516,0.03102,0.52346,0.29084,0.15273,0.25890,0.32783,0.44818,0.51557,0.70000,0.39404,0.43931
slerp-llama_2_7b-tulu_all_0.3-science_500_0.7_4096,0.44788,0.63923,0.58406,0.00201,0.04221,0.04221,0.43149,0.29851,0.18120,0.20319,0.34765,0.42982,0.50472,0.67451,0.38907,0.42982
slerp-llama_2_7b-tulu_all_0.3-science_upsample_0.7_4096,0.44805,0.64557,0.57737,0.00000,0.02122,0.03279,0.41853,0.30063,0.14859,0.32477,0.30717,0.38066,0.46544,0.64039,0.38300,0.38066
slerp-llama_2_7b-tulu_all_0.4-science_1000_0.6_4096,0.42324,0.67849,0.58878,0.00000,0.03122,0.03746,0.49040,0.30532,0.13820,0.11338,0.32139,0.45778,0.50706,0.71146,0.38724,0.42324
slerp-llama_2_7b-tulu_all_0.4-science_100_0.6_4096,0.42998,0.57114,0.55164,0.00000,0.04556,0.03493,0.32879,0.20436,0.12805,0.09587,0.30152,0.32505,0.39710,0.55849,0.32186,0.32505
slerp-llama_2_7b-tulu_all_0.4-science_200_0.6_4096,0.42667,0.63901,0.62535,0.00000,0.03086,0.02675,0.45003,0.22750,0.18244,0.10177,0.31924,0.32787,0.40917,0.56164,0.35385,0.32787
slerp-llama_2_7b-tulu_all_0.4-science_2500_0.6_4096,0.41825,0.62259,0.52331,0.00382,0.03435,0.03817,0.50581,0.29927,0.15423,0.13433,0.30887,0.42577,0.50113,0.67265,0.37267,0.41825
slerp-llama_2_7b-tulu_all_0.4-science_500_0.6_4096,0.44815,0.64375,0.54882,0.00184,0.04968,0.04048,0.40668,0.29450,0.17189,0.11592,0.32577,0.40920,0.47594,0.66409,0.37077,0.40668
slerp-llama_2_7b-tulu_all_0.4-science_upsample_0.6_4096,0.45455,0.66238,0.56630,0.00000,0.03833,0.03659,0.41511,0.29009,0.09970,0.20031,0.32205,0.37725,0.45132,0.64322,0.36993,0.37725
slerp-llama_2_7b-tulu_all_0.5-science_1000_0.5_4096,0.45149,0.65516,0.58991,0.00164,0.06908,0.04112,0.42611,0.27384,0.14251,0.09228,0.32350,0.43146,0.49769,0.67954,0.37590,0.42611
slerp-llama_2_7b-tulu_all_0.5-science_100_0.5_4096,0.43129,0.59920,0.55243,0.00144,0.07215,0.04040,0.31824,0.23030,0.10753,0.09412,0.29185,0.31164,0.39470,0.56061,0.32449,0.31164
slerp-llama_2_7b-tulu_all_0.5-science_200_0.5_4096,0.43725,0.62018,0.59514,0.00189,0.05283,0.03585,0.39915,0.23839,0.16821,0.09672,0.30786,0.29299,0.38563,0.55245,0.34192,0.30786
slerp-llama_2_7b-tulu_all_0.5-science_2500_0.5_4096,0.47529,0.61894,0.49470,0.00352,0.05639,0.04934,0.45557,0.30107,0.12984,0.11836,0.30989,0.38781,0.47886,0.67841,0.36602,0.38781
slerp-llama_2_7b-tulu_all_0.5-science_500_0.5_4096,0.43404,0.65138,0.54564,0.00175,0.04729,0.04028,0.37205,0.28419,0.15984,0.10615,0.32505,0.40460,0.47179,0.64394,0.36129,0.37205
slerp-llama_2_7b-tulu_all_0.5-science_upsample_0.5_4096,0.46561,0.65577,0.54344,0.00000,0.05453,0.04170,0.38771,0.29471,0.06743,0.11350,0.30127,0.35224,0.43063,0.61224,0.34986,0.35224
slerp-llama_2_7b-tulu_all_0.6-science_1000_0.4_4096,0.45098,0.61212,0.57649,0.00303,0.05606,0.04545,0.37551,0.25986,0.09932,0.10117,0.29825,0.38938,0.46809,0.64314,0.35112,0.37551
slerp-llama_2_7b-tulu_all_0.6-science_100_0.4_4096,0.36036,0.57315,0.54265,0.00138,0.07153,0.03439,0.31356,0.25053,0.09115,0.08023,0.27983,0.28687,0.38674,0.56489,0.31043,0.28687
slerp-llama_2_7b-tulu_all_0.6-science_200_0.4_4096,0.41164,0.60835,0.56667,0.00000,0.05795,0.03974,0.35842,0.25723,0.12396,0.08541,0.30022,0.29730,0.40191,0.57455,0.33106,0.30022
slerp-llama_2_7b-tulu_all_0.6-science_2500_0.4_4096,0.45018,0.60256,0.45970,0.00162,0.05020,0.04696,0.39005,0.30770,0.10677,0.09833,0.29333,0.36126,0.45105,0.67544,0.34505,0.36126
slerp-llama_2_7b-tulu_all_0.6-science_500_0.4_4096,0.42912,0.62652,0.55504,0.00163,0.06509,0.04068,0.33876,0.28752,0.10434,0.08854,0.31224,0.37209,0.45373,0.63846,0.34707,0.33876
slerp-llama_2_7b-tulu_all_0.6-science_upsample_0.4_4096,0.45918,0.62526,0.53767,0.00000,0.06029,0.03824,0.35884,0.30303,0.04976,0.09152,0.30000,0.34402,0.44710,0.61692,0.34059,0.34402
