model_key,base_model,tulu_model,tulu_model_weight,safety_model,safety_model_weight,merge_method,harmbench,safe_average,unsafe_average
linear_weighted-llama_2_7b-tulu_all_0.2-safety_10_0.8,llama_2_7b,tulu_all,0.2,safety_10,0.8,linear_weighted,0.0,9.599999616000014,0.0
linear_weighted-llama_2_7b-tulu_all_0.1-safety_10_0.9,llama_2_7b,tulu_all,0.1,safety_10,0.9,linear_weighted,0.0,5.599999776000009,0.0
linear_weighted-llama_2_7b-tulu_all_0.9-tulu_2_7b_uncensored_safety_100_0.1,llama_2_7b,tulu_all,0.9,tulu_2_7b_uncensored_safety_100,0.1,linear_weighted,16.75,88.39999646400015,2.9999998800000047
linear_weighted-llama_2_7b-tulu_all_0.8-tulu_2_7b_uncensored_safety_100_0.2,llama_2_7b,tulu_all,0.8,tulu_2_7b_uncensored_safety_100,0.2,linear_weighted,6.75,73.99999704000011,0.4999999800000008
linear_weighted-llama_2_7b-tulu_all_0.7-tulu_2_7b_uncensored_safety_100_0.3,llama_2_7b,tulu_all,0.7,tulu_2_7b_uncensored_safety_100,0.3,linear_weighted,1.25,54.39999782400009,0.9999999600000016
linear_weighted-llama_2_7b-tulu_all_0.6-tulu_2_7b_uncensored_safety_100_0.4,llama_2_7b,tulu_all,0.6,tulu_2_7b_uncensored_safety_100,0.4,linear_weighted,0.0,39.99999840000007,0.0
linear_weighted-llama_2_7b-tulu_all_0.5-tulu_2_7b_uncensored_safety_100_0.5,llama_2_7b,tulu_all,0.5,tulu_2_7b_uncensored_safety_100,0.5,linear_weighted,0.0,34.79999860800005,0.0
linear_weighted-llama_2_7b-tulu_all_0.4-tulu_2_7b_uncensored_safety_100_0.6,llama_2_7b,tulu_all,0.4,tulu_2_7b_uncensored_safety_100,0.6,linear_weighted,0.0,25.199998992000044,0.0
linear_weighted-llama_2_7b-tulu_all_0.3-tulu_2_7b_uncensored_safety_100_0.7,llama_2_7b,tulu_all,0.3,tulu_2_7b_uncensored_safety_100,0.7,linear_weighted,0.0,19.199999232000028,0.0
linear_weighted-llama_2_7b-tulu_all_0.2-tulu_2_7b_uncensored_safety_100_0.8,llama_2_7b,tulu_all,0.2,tulu_2_7b_uncensored_safety_100,0.8,linear_weighted,0.0,18.79999924800003,0.0
linear_weighted-llama_2_7b-tulu_all_0.1-tulu_2_7b_uncensored_safety_100_0.9,llama_2_7b,tulu_all,0.1,tulu_2_7b_uncensored_safety_100,0.9,linear_weighted,0.0,15.599999376000023,0.0
llama_2_7b-tulu_all-safety_10,llama_2_7b,tulu_all,1.0,safety_10,1.0,N/A,14.25,66.79999732800009,0.4999999800000008
tulu_2_7b_uncensored-tulu_match-safety_10,tulu_2_7b_uncensored,tulu_match,1.0,safety_10,1.0,N/A,9.25,38.79999844800006,0.0
tulu_2_7b_uncensored-tulu_none-safety_10,tulu_2_7b_uncensored,tulu_none,0.0,safety_10,1.0,N/A,0.0,2.7999998880000043,0.0
task_arithmetic-llama_2_7b-tulu_all_1.0-safety_100_0.1,task_arithmetic,llama_2_7b,1.0,tulu_all_1.0,1.0,N/A,40.5,97.59999609600017,14.499999420000023
